name,sku,description,short_description,price,compare_price,cost_price,quantity,parent_category,sub_category,brand,product_type,tags,weight,ingredients,calories,delivery_info,is_featured,is_published,status
Vitamin C Brightening Body Wash,BW-VC-001,Luxurious body wash enriched with Vitamin C to brighten and refresh your skin,Brightening body wash with Vitamin C,299,399,150,100,Body Wash,Vitamin C,Yuvic,Body Care,"vitamin c, brightening, body wash",250,Vitamin C Extract Water Glycerin,0,Ships in 2-3 days,true,true,true
Coffee Energizing Body Wash,BW-CF-001,Invigorating coffee-infused body wash for smooth energized skin,Coffee body wash for energy boost,279,349,140,100,Body Wash,Coffee,Yuvic,Body Care,"coffee, energizing, body wash",250,Coffee Extract Water Glycerin,0,Ships in 2-3 days,true,true,true
Sea Buckthorn Nourishing Body Wash,BW-SB-001,Deeply nourishing body wash with sea buckthorn oil,Sea buckthorn body wash,319,429,160,100,Body Wash,Sea Buckthorn,Yuvic,Body Care,"sea buckthorn, nourishing, body wash",250,Sea Buckthorn Oil Water Glycerin,0,Ships in 2-3 days,false,true,true
Strawberry Fresh Body Wash,BW-ST-001,Sweet strawberry scented body wash for fresh clean skin,Strawberry body wash,269,339,135,100,Body Wash,Strawberry,Yuvic,Body Care,"strawberry, fresh, body wash",250,Strawberry Extract Water Glycerin,0,Ships in 2-3 days,false,true,true
Charcoal Detox Body Wash,BW-CH-001,Activated charcoal body wash for deep cleansing and detox,Charcoal detox body wash,329,449,165,100,Body Wash,Charcoal,Yuvic,Body Care,"charcoal, detox, body wash",250,Activated Charcoal Water Glycerin,0,Ships in 2-3 days,true,true,true
Ubtan Traditional Body Wash,BW-UB-001,Traditional ubtan formula body wash for natural glow,Ubtan body wash,289,379,145,100,Body Wash,Ubtan,Yuvic,Body Care,"ubtan, traditional, body wash",250,Turmeric Sandalwood Water Glycerin,0,Ships in 2-3 days,false,true,true
Guava Refreshing Body Wash,BW-GV-001,Tropical guava body wash for refreshed skin,Guava body wash,279,349,140,100,Body Wash,Guava,Yuvic,Body Care,"guava, refreshing, body wash",250,Guava Extract Water Glycerin,0,Ships in 2-3 days,false,true,true
Pineapple Tropical Body Wash,BW-PN-001,Exotic pineapple body wash with tropical fragrance,Pineapple body wash,279,349,140,100,Body Wash,Pineapple,Yuvic,Body Care,"pineapple, tropical, body wash",250,Pineapple Extract Water Glycerin,0,Ships in 2-3 days,false,true,true
Papaya Enzyme Body Wash,BW-PP-001,Papaya enzyme body wash for gentle exfoliation,Papaya body wash,299,399,150,100,Body Wash,Papaya,Yuvic,Body Care,"papaya, enzyme, body wash",250,Papaya Extract Water Glycerin,0,Ships in 2-3 days,false,true,true
Kiwi Dragon Fruit Exotic Body Wash,BW-KD-001,Exotic blend of kiwi and dragon fruit body wash,Kiwi dragon fruit body wash,319,429,160,100,Body Wash,Kiwi Dragon Fruit,Yuvic,Body Care,"kiwi, dragon fruit, body wash",250,Kiwi Dragon Fruit Extract Water,0,Ships in 2-3 days,true,true,true
